zip,city,state,latitude,longitude,timezone,dst
210,Portsmouth,NH,43.005895,-71.013202,-5,1
211,Portsmouth,NH,43.005895,-71.013202,-5,1
212,Portsmouth,NH,43.005895,-71.013202,-5,1
213,Portsmouth,NH,43.005895,-71.013202,-5,1
214,Portsmouth,NH,43.005895,-71.013202,-5,1
215,Portsmouth,NH,43.005895,-71.013202,-5,1
501,Holtsville,NY,40.922326,-72.637078,-5,1
544,Holtsville,NY,40.922326,-72.637078,-5,1
601,Adjuntas,PR,18.180103,-66.74947,-4,0
602,Aguada,PR,18.363285,-67.18024,-4,0
603,Aguadilla,PR,18.448619,-67.13422,-4,0
604,Aguadilla,PR,18.498987,-67.13699,-4,0
605,Aguadilla,PR,18.465162,-67.141486,-4,0
606,Maricao,PR,18.182151,-66.9588,-4,0
607,Aguas Buenas,PR,18.256995,-66.104657,-4,0
609,Aibonito,PR,18.142002,-66.273278,-4,0
610,Anasco,PR,18.288319,-67.13604,-4,0
611,Angeles,PR,18.279531,-66.80217,-4,0
612,Arecibo,PR,18.449732,-66.69879,-4,0
613,Arecibo,PR,18.458093,-66.732732,-4,0
614,Arecibo,PR,18.429675,-66.674506,-4,0
615,Arroyo,PR,17.96977,-66.061459,-4,0
616,Bajadero,PR,18.426748,-66.67669,-4,0
617,Barceloneta,PR,18.455499,-66.55575,-4,0
618,Barranquitas,PR,18.185463,-66.305827,-4,0
622,Boqueron,PR,18.003125,-67.16745,-4,0
623,Cabo Rojo,PR,18.08643,-67.15222,-4,0
624,Penuelas,PR,18.055399,-66.72602,-4,0
625,Caguas,PR,18.232109,-66.039087,-4,0
626,Caguas,PR,18.235003,-66.037318,-4,0
627,Camuy,PR,18.435246,-66.85644,-4,0
631,Castaner,PR,18.186739,-66.85174,-4,0
633,Cayey,PR,18.194527,-66.183467,-4,0
634,Cayey,PR,18.111528,-66.177083,-4,0
635,Ceiba,PR,18.262902,-65.646529,-4,0
636,Rosario,PR,18.113284,-67.039706,-4,0
637,Sabana Grande,PR,18.073078,-66.94864,-4,0
638,Ciales,PR,18.308139,-66.49835,-4,0
639,Cidra,PR,18.176094,-66.158728,-4,0
640,Coamo,PR,18.077197,-66.359104,-4,0
641,Utuado,PR,18.268896,-66.70519,-4,0
643,Corozal,PR,18.341254,-66.315194,-4,0
644,Coto Laurel,PR,18.049577,-66.55218,-4,0
645,Culebra,PR,18.308508,-65.304732,-4,0
646,Dorado,PR,18.442798,-66.27689,-4,0
647,Ensenada,PR,17.964529,-66.93993,-4,0
648,Fajardo,PR,18.333038,-65.656182,-4,0
650,Florida,PR,18.363331,-66.56773,-4,0
652,Garrochales,PR,18.457453,-66.61217,-4,0
653,Guanica,PR,17.992112,-66.90097,-4,0
654,Jobos,PR,17.979518,-66.117219,-4,0
655,Olimpo,PR,17.976371,-66.116795,-4,0
656,Guayanilla,PR,18.038866,-66.79168,-4,0
658,Gurabo,PR,18.254137,-65.973605,-4,0
659,Hatillo,PR,18.432956,-66.80039,-4,0
660,Hormigueros,PR,18.139108,-67.12085,-4,0
661,Humacao,PR,18.150829,-65.826595,-4,0
662,Isabela,PR,18.478855,-67.01973,-4,0
664,Jayuya,PR,18.212565,-66.59243,-4,0
665,Ponce,PR,18.044224,-66.502103,-4,0
666,Juncos,PR,18.228952,-65.921356,-4,0
667,Lajas,PR,18.017819,-67.04226,-4,0
669,Lares,PR,18.288418,-66.87503,-4,0
670,Las Marias,PR,18.241343,-66.97604,-4,0
671,Las Piedras,PR,18.1789,-65.869939,-4,0
674,Manati,PR,18.426137,-66.48697,-4,0
676,Moca,PR,18.37956,-67.08424,-4,0
677,Rincon,PR,18.336121,-67.23675,-4,0
678,Quebradillas,PR,18.442334,-66.93275,-4,0
680,Mayaguez,PR,18.205232,-67.12655,-4,0
681,Mayaguez,PR,18.219023,-67.508068,-4,0
682,Mayaguez,PR,18.208402,-67.15428,-4,0
683,San German,PR,18.092807,-67.04524,-4,0
685,San Sebastian,PR,18.332595,-66.98104,-4,0
687,Morovis,PR,18.31708,-66.41528,-4,0
688,Sabana Hoyos,PR,18.40415,-66.61348,-4,0